Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,irradiat,inv-nodes,node-caps,age,tumor-size,menopause_1,breast-quad_3,breast,breast-quad_5,breast-quad_2,breast-quad_4,menopause_2,breast-quad_1
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	inv-nodes,irradiat,deg-malig,node-caps,tumor-size,breast-quad_3,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_1,menopause_2,age
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	irradiat,age,breast-quad_2,breast-quad_1,breast-quad_4,breast,breast-quad_3,breast-quad_5,node-caps,menopause_2,menopause_1,inv-nodes,tumor-size,deg-malig
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	irradiat,menopause_2,breast-quad_3,deg-malig,breast,inv-nodes,breast-quad_1,node-caps,age,breast-quad_5,breast-quad_2,breast-quad_4,tumor-size,menopause_1
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	inv-nodes,irradiat,deg-malig,node-caps,tumor-size,breast-quad_3,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_1,menopause_2,age
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,inv-nodes,irradiat,node-caps,tumor-size,age,menopause_1,breast-quad_3,breast,breast-quad_5,breast-quad_2,breast-quad_4,menopause_2,breast-quad_1
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	irradiat,node-caps,inv-nodes,breast-quad_5,age,breast-quad_3,menopause_2,deg-malig,tumor-size,breast-quad_4,breast,menopause_1,breast-quad_2,breast-quad_1
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	tumor-size,deg-malig,breast-quad_2,inv-nodes,menopause_1,irradiat,breast-quad_4,breast-quad_5,menopause_2,breast,node-caps,breast-quad_3,breast-quad_1,age
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,age,deg-malig,inv-nodes,irradiat,breast,node-caps,breast-quad_2,menopause_2,breast-quad_3,breast-quad_5,breast-quad_1,breast-quad_4,menopause_1
breast-cancer	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	irradiat,deg-malig,breast,breast-quad_5,breast-quad_4,inv-nodes,node-caps,breast-quad_3,breast-quad_2,menopause_2,menopause_1,tumor-size,age,breast-quad_1
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,inv-nodes,node-caps,tumor-size,irradiat,menopause_1,breast-quad_5,age,breast-quad_2,breast-quad_4,breast,breast-quad_1,breast-quad_3,menopause_2
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig,breast-quad_2,breast-quad_3,tumor-size,breast-quad_4,breast,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	deg-malig,breast-quad_2,breast-quad_3,age,breast-quad_4,breast,breast-quad_1,breast-quad_5,menopause_1,menopause_2,irradiat,inv-nodes,tumor-size,node-caps
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,breast,irradiat,breast-quad_3,inv-nodes,breast-quad_2,menopause_2,node-caps,breast-quad_1,breast-quad_4,breast-quad_5,tumor-size,menopause_1,age
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,breast-quad_2,breast-quad_3,tumor-size,breast-quad_4,breast,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,inv-nodes,node-caps,tumor-size,irradiat,menopause_1,breast-quad_5,age,breast-quad_2,breast-quad_4,breast,breast-quad_1,breast-quad_3,menopause_2
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,irradiat,inv-nodes,breast-quad_5,breast,breast-quad_2,breast-quad_4,node-caps,menopause_1,tumor-size,menopause_2,breast-quad_3,breast-quad_1,age
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,breast-quad_2,tumor-size,inv-nodes,menopause_1,age,menopause_2,irradiat,breast-quad_5,breast-quad_4,breast,node-caps,breast-quad_3,breast-quad_1
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,deg-malig,inv-nodes,age,breast-quad_2,breast,irradiat,breast-quad_5,menopause_2,node-caps,breast-quad_3,breast-quad_1,breast-quad_4,menopause_1
breast-cancer	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	deg-malig,menopause_1,node-caps,breast-quad_1,breast-quad_3,breast-quad_2,breast,inv-nodes,breast-quad_5,irradiat,age,menopause_2,tumor-size,breast-quad_4
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,node-caps,inv-nodes,breast-quad_5,age,menopause_2,irradiat,breast,breast-quad_1,breast-quad_4,tumor-size,breast-quad_2,breast-quad_3,menopause_1
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig,node-caps,breast-quad_4,breast-quad_3,tumor-size,breast-quad_1,breast,breast-quad_2,breast-quad_5,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	node-caps,deg-malig,breast-quad_4,breast-quad_3,age,breast-quad_1,breast,breast-quad_2,breast-quad_5,inv-nodes,menopause_2,menopause_1,irradiat,tumor-size
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,menopause_2,breast,breast-quad_3,node-caps,breast-quad_5,breast-quad_1,irradiat,age,breast-quad_2,inv-nodes,menopause_1,breast-quad_4,tumor-size
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,node-caps,breast-quad_4,breast-quad_3,tumor-size,breast-quad_1,breast,breast-quad_2,breast-quad_5,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,node-caps,inv-nodes,breast-quad_5,age,menopause_2,irradiat,breast,breast-quad_1,breast-quad_4,tumor-size,breast-quad_2,breast-quad_3,menopause_1
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,breast-quad_5,irradiat,node-caps,breast-quad_1,breast-quad_4,breast,inv-nodes,breast-quad_2,tumor-size,age,menopause_2,breast-quad_3,menopause_1
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,tumor-size,node-caps,breast-quad_3,menopause_2,breast-quad_1,breast-quad_4,breast-quad_2,breast-quad_5,irradiat,breast,age,inv-nodes,menopause_1
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,deg-malig,age,inv-nodes,node-caps,breast-quad_3,breast-quad_5,breast,irradiat,menopause_2,breast-quad_2,breast-quad_1,breast-quad_4,menopause_1
breast-cancer	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	node-caps,breast-quad_1,menopause_2,breast-quad_5,deg-malig,breast,breast-quad_3,menopause_1,irradiat,breast-quad_4,inv-nodes,breast-quad_2,tumor-size,age
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	inv-nodes,node-caps,deg-malig,irradiat,breast-quad_1,breast-quad_4,tumor-size,breast,breast-quad_5,breast-quad_3,age,menopause_1,menopause_2,breast-quad_2
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	node-caps,deg-malig,inv-nodes,irradiat,tumor-size,breast-quad_3,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_1,menopause_2,age
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	node-caps,age,breast-quad_2,breast-quad_1,breast,breast-quad_3,breast-quad_5,menopause_2,menopause_1,tumor-size,deg-malig,breast-quad_4,inv-nodes,irradiat
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,irradiat,inv-nodes,breast-quad_3,node-caps,breast-quad_1,breast,breast-quad_2,breast-quad_5,menopause_2,age,menopause_1,tumor-size,breast-quad_4
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	node-caps,deg-malig,inv-nodes,irradiat,tumor-size,breast-quad_3,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_1,menopause_2,age
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	inv-nodes,node-caps,deg-malig,irradiat,breast-quad_1,breast-quad_4,breast,tumor-size,breast-quad_5,breast-quad_3,age,menopause_1,menopause_2,breast-quad_2
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,node-caps,inv-nodes,irradiat,breast,breast-quad_5,breast-quad_4,breast-quad_3,breast-quad_1,tumor-size,menopause_1,breast-quad_2,age,menopause_2
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_5,inv-nodes,breast-quad_3,node-caps,deg-malig,breast-quad_4,breast-quad_2,menopause_1,menopause_2,irradiat,breast,breast-quad_1,age,tumor-size
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	inv-nodes,tumor-size,deg-malig,age,node-caps,breast,breast-quad_3,irradiat,breast-quad_5,menopause_2,breast-quad_2,breast-quad_4,breast-quad_1,menopause_1
breast-cancer	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	node-caps,breast-quad_1,breast,deg-malig,breast-quad_5,breast-quad_4,inv-nodes,irradiat,breast-quad_3,age,breast-quad_2,menopause_1,menopause_2,tumor-size
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,node-caps,irradiat,inv-nodes,tumor-size,breast,breast-quad_5,age,menopause_1,breast-quad_3,menopause_2,breast-quad_1,breast-quad_4,breast-quad_2
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	inv-nodes,deg-malig,irradiat,node-caps,tumor-size,breast-quad_3,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_1,menopause_2,age
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	inv-nodes,breast,breast-quad_4,breast-quad_1,breast-quad_2,breast-quad_3,deg-malig,menopause_1,menopause_2,irradiat,age,node-caps,tumor-size,breast-quad_5
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,irradiat,breast-quad_3,inv-nodes,breast-quad_2,breast,menopause_2,breast-quad_1,breast-quad_5,node-caps,breast-quad_4,age,tumor-size,menopause_1
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,inv-nodes,irradiat,node-caps,tumor-size,breast-quad_3,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_1,menopause_2,age
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,node-caps,irradiat,inv-nodes,tumor-size,breast,breast-quad_5,menopause_1,age,breast-quad_3,menopause_2,breast-quad_1,breast-quad_4,breast-quad_2
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,irradiat,breast,inv-nodes,breast-quad_5,menopause_2,breast-quad_4,node-caps,breast-quad_3,tumor-size,menopause_1,age,breast-quad_2,breast-quad_1
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,inv-nodes,irradiat,breast,menopause_1,age,node-caps,breast-quad_2,breast-quad_5,breast-quad_4,menopause_2,breast-quad_3,breast-quad_1,tumor-size
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,deg-malig,age,inv-nodes,breast,irradiat,node-caps,breast-quad_3,breast-quad_2,menopause_2,breast-quad_5,breast-quad_1,breast-quad_4,menopause_1
breast-cancer	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	irradiat,breast-quad_3,breast-quad_5,deg-malig,breast,breast-quad_2,node-caps,breast-quad_1,age,inv-nodes,breast-quad_4,menopause_1,tumor-size,menopause_2
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,inv-nodes,breast,irradiat,breast-quad_2,node-caps,breast-quad_1,age,breast-quad_3,breast-quad_5,tumor-size,breast-quad_4,menopause_1,menopause_2
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig,breast-quad_2,breast-quad_3,tumor-size,breast-quad_4,breast,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	tumor-size,breast-quad_2,breast-quad_3,breast-quad_1,node-caps,breast,breast-quad_4,breast-quad_5,deg-malig,menopause_2,menopause_1,irradiat,age,inv-nodes
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast-quad_3,breast-quad_2,deg-malig,breast,breast-quad_1,menopause_2,inv-nodes,irradiat,age,breast-quad_5,breast-quad_4,menopause_1,node-caps,tumor-size
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,breast-quad_2,breast-quad_3,tumor-size,breast-quad_4,breast,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,inv-nodes,breast,irradiat,breast-quad_2,node-caps,breast-quad_1,breast-quad_3,age,breast-quad_5,tumor-size,breast-quad_4,menopause_1,menopause_2
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_3,breast,breast-quad_4,deg-malig,breast-quad_1,inv-nodes,breast-quad_5,menopause_1,irradiat,node-caps,menopause_2,tumor-size,breast-quad_2,age
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_4,menopause_2,menopause_1,node-caps,inv-nodes,breast-quad_1,age,irradiat,breast-quad_2,breast-quad_5,breast,deg-malig,breast-quad_3,tumor-size
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,age,deg-malig,inv-nodes,breast-quad_3,breast,breast-quad_2,node-caps,irradiat,menopause_2,breast-quad_1,breast-quad_4,breast-quad_5,menopause_1
breast-cancer	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	deg-malig,breast-quad_1,breast,breast-quad_5,breast-quad_3,inv-nodes,menopause_2,age,menopause_1,irradiat,tumor-size,breast-quad_4,node-caps,breast-quad_2
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,inv-nodes,irradiat,node-caps,age,tumor-size,breast,menopause_2,breast-quad_5,menopause_1,breast-quad_1,breast-quad_3,breast-quad_4,breast-quad_2
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig,tumor-size,breast,breast-quad_3,breast-quad_2,breast-quad_4,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	deg-malig,breast-quad_2,breast-quad_3,tumor-size,breast-quad_4,breast,breast-quad_1,breast-quad_5,node-caps,menopause_2,menopause_1,age,irradiat,inv-nodes
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,breast-quad_3,breast-quad_2,menopause_2,breast-quad_4,irradiat,inv-nodes,breast,age,breast-quad_1,breast-quad_5,tumor-size,node-caps,menopause_1
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,tumor-size,breast,breast-quad_3,breast-quad_2,breast-quad_4,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,inv-nodes,irradiat,tumor-size,node-caps,age,breast,menopause_2,breast-quad_5,menopause_1,breast-quad_1,breast-quad_3,breast-quad_4,breast-quad_2
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,breast-quad_4,node-caps,menopause_1,breast-quad_3,breast-quad_1,breast-quad_5,irradiat,inv-nodes,breast-quad_2,menopause_2,tumor-size,breast,age
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,menopause_2,irradiat,tumor-size,breast-quad_5,breast-quad_1,breast-quad_4,breast,node-caps,breast-quad_3,breast-quad_2,age,inv-nodes,menopause_1
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	deg-malig,tumor-size,age,inv-nodes,breast-quad_3,menopause_2,breast,breast-quad_2,irradiat,node-caps,breast-quad_5,breast-quad_1,breast-quad_4,menopause_1
breast-cancer	3	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	deg-malig,menopause_1,breast-quad_2,breast-quad_3,breast-quad_1,breast-quad_4,breast-quad_5,irradiat,menopause_2,age,breast,inv-nodes,tumor-size,node-caps
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,breast-quad_5,inv-nodes,node-caps,menopause_1,breast-quad_1,irradiat,age,menopause_2,breast-quad_3,breast,tumor-size,breast-quad_2,breast-quad_4
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	tumor-size,deg-malig,breast,breast-quad_3,breast-quad_2,breast-quad_4,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast-quad_5,breast-quad_2,breast-quad_3,breast-quad_1,node-caps,breast,breast-quad_4,tumor-size,age,menopause_2,menopause_1,irradiat,inv-nodes,deg-malig
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,breast-quad_2,breast-quad_3,irradiat,breast-quad_1,breast,menopause_2,inv-nodes,breast-quad_5,breast-quad_4,menopause_1,node-caps,age,tumor-size
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	tumor-size,deg-malig,breast,breast-quad_3,breast-quad_2,breast-quad_4,breast-quad_1,breast-quad_5,node-caps,inv-nodes,menopause_2,menopause_1,irradiat,age
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,breast-quad_5,inv-nodes,node-caps,menopause_1,breast-quad_1,irradiat,age,menopause_2,breast-quad_3,tumor-size,breast,breast-quad_2,breast-quad_4
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_5,irradiat,deg-malig,node-caps,breast-quad_4,menopause_1,breast-quad_2,breast-quad_1,tumor-size,breast,breast-quad_3,inv-nodes,menopause_2,age
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,tumor-size,inv-nodes,breast-quad_3,breast-quad_1,breast-quad_2,menopause_2,menopause_1,breast-quad_5,irradiat,breast-quad_4,breast,node-caps,age
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,age,deg-malig,inv-nodes,node-caps,irradiat,breast,breast-quad_5,breast-quad_2,breast-quad_3,menopause_2,breast-quad_4,breast-quad_1,menopause_1
breast-cancer	3	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast-quad_5,menopause_1,deg-malig,breast-quad_1,breast-quad_3,breast-quad_2,breast,age,tumor-size,inv-nodes,menopause_2,breast-quad_4,irradiat,node-caps
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,inv-nodes,irradiat,node-caps,breast-quad_4,menopause_1,tumor-size,breast-quad_1,breast-quad_2,age,menopause_2,breast-quad_3,breast-quad_5,breast
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	inv-nodes,deg-malig,breast-quad_4,tumor-size,breast-quad_2,breast-quad_1,breast,breast-quad_3,breast-quad_5,node-caps,menopause_2,menopause_1,irradiat,age
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	deg-malig,inv-nodes,breast-quad_2,node-caps,breast-quad_4,breast-quad_3,breast-quad_5,breast,menopause_2,menopause_1,irradiat,breast-quad_1,age,tumor-size
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,irradiat,breast-quad_4,breast-quad_3,menopause_2,breast-quad_2,inv-nodes,breast-quad_5,tumor-size,node-caps,breast-quad_1,age,breast,menopause_1
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,inv-nodes,breast-quad_4,tumor-size,breast-quad_2,breast-quad_1,breast,breast-quad_3,breast-quad_5,node-caps,menopause_2,menopause_1,irradiat,age
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,inv-nodes,irradiat,node-caps,tumor-size,breast-quad_4,menopause_1,breast-quad_1,breast-quad_2,age,menopause_2,breast-quad_3,breast-quad_5,breast
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,tumor-size,irradiat,breast-quad_3,menopause_2,breast-quad_4,breast-quad_5,node-caps,menopause_1,breast-quad_1,inv-nodes,breast-quad_2,breast,age
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,breast-quad_5,irradiat,breast,menopause_2,tumor-size,node-caps,breast-quad_4,breast-quad_3,breast-quad_1,breast-quad_2,age,inv-nodes,menopause_1
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,deg-malig,age,inv-nodes,breast-quad_3,irradiat,breast,menopause_2,breast-quad_2,node-caps,breast-quad_5,breast-quad_4,breast-quad_1,menopause_1
breast-cancer	4	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	irradiat,breast-quad_3,breast-quad_1,deg-malig,menopause_2,breast,breast-quad_5,age,inv-nodes,node-caps,tumor-size,breast-quad_4,menopause_1,breast-quad_2
breast-cancer	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	irradiat,deg-malig,node-caps,tumor-size,inv-nodes,breast-quad_3,breast-quad_1,breast-quad_4,menopause_2,menopause_1,breast-quad_2,breast,breast-quad_5,age
breast-cancer	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig,irradiat,breast-quad_4,breast-quad_2,tumor-size,breast-quad_1,breast,breast-quad_3,breast-quad_5,node-caps,menopause_2,menopause_1,inv-nodes,age
breast-cancer	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	tumor-size,breast-quad_4,breast-quad_2,breast-quad_1,breast,breast-quad_3,breast-quad_5,irradiat,menopause_1,menopause_2,age,inv-nodes,deg-malig,node-caps
breast-cancer	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,menopause_2,breast-quad_3,irradiat,breast,breast-quad_2,breast-quad_1,node-caps,inv-nodes,age,breast-quad_4,breast-quad_5,tumor-size,menopause_1
