Description	Iteration	Algorithm	Features
breast-cancer	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	breast-quad_4,deg-malig,breast-quad_3,irradiat,menopause_1
breast-cancer	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	breast-quad_4,deg-malig,breast-quad_3
breast-cancer	4	/AlgorithmScripts/Classification/tsv/keras/dnn	deg-malig,irradiat,inv-nodes
breast-cancer	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	menopause_2,irradiat,deg-malig,breast-quad_4,breast-quad_3
breast-cancer	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	breast-quad_4,deg-malig,breast-quad_3
breast-cancer	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	breast-quad_4,deg-malig,breast-quad_3,irradiat,menopause_1,inv-nodes,breast,age,tumor-size,breast-quad_5
breast-cancer	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	menopause_2,irradiat,deg-malig,breast-quad_4,breast-quad_3
breast-cancer	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	breast-quad_4,deg-malig,breast-quad_3
breast-cancer	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	irradiat,node-caps,deg-malig,breast-quad_3,breast-quad_2,breast-quad_5,age,breast,menopause_1,menopause_2
breast-cancer	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	tumor-size,deg-malig,age,node-caps,inv-nodes
breast-cancer	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	node-caps,deg-malig,breast-quad_1
breast-cancer	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	node-caps,deg-malig,breast-quad_1
breast-cancer	5	/AlgorithmScripts/Classification/tsv/keras/dnn	menopause_2,deg-malig,breast-quad_3,breast-quad_5,breast-quad_4
breast-cancer	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	deg-malig,node-caps,tumor-size,inv-nodes,breast
breast-cancer	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	node-caps,deg-malig,breast-quad_1
breast-cancer	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	deg-malig,node-caps,tumor-size,inv-nodes,breast,breast-quad_1,breast-quad_3,breast-quad_2,breast-quad_5,breast-quad_4
breast-cancer	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	deg-malig,tumor-size,node-caps
breast-cancer	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	node-caps,deg-malig,breast-quad_1
breast-cancer	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	menopause_2,deg-malig,breast-quad_3
